Sample in Buffer,Sample in Window,TRIGGER,ram_wr_en,ram_wr_we,ram_rd_en,rd_flag,ram_wr_addr[5:0],ram_wr_data[7:0],ram_rd_addr[5:0],ram_rd_data[7:0]
0,0,0,1,1,1,1,31,31,63,62
1,1,0,1,1,1,1,32,32,0,63
2,2,0,1,1,1,1,33,33,1,0
3,3,0,1,1,1,1,34,34,2,1
4,4,0,1,1,1,1,35,35,3,2
5,5,0,1,1,1,1,36,36,4,3
6,6,0,1,1,1,1,37,37,5,4
7,7,0,1,1,1,1,38,38,6,5
8,8,0,1,1,1,1,39,39,7,6
9,9,0,1,1,1,1,40,40,8,7
10,10,0,1,1,1,1,41,41,9,8
11,11,0,1,1,1,1,42,42,10,9
12,12,0,1,1,1,1,43,43,11,10
13,13,0,1,1,1,1,44,44,12,11
14,14,0,1,1,1,1,45,45,13,12
15,15,0,1,1,1,1,46,46,14,13
16,16,0,1,1,1,1,47,47,15,14
17,17,0,1,1,1,1,48,48,16,15
18,18,0,1,1,1,1,49,49,17,16
19,19,0,1,1,1,1,50,50,18,17
20,20,0,1,1,1,1,51,51,19,18
21,21,0,1,1,1,1,52,52,20,19
22,22,0,1,1,1,1,53,53,21,20
23,23,0,1,1,1,1,54,54,22,21
24,24,0,1,1,1,1,55,55,23,22
25,25,0,1,1,1,1,56,56,24,23
26,26,0,1,1,1,1,57,57,25,24
27,27,0,1,1,1,1,58,58,26,25
28,28,0,1,1,1,1,59,59,27,26
29,29,0,1,1,1,1,60,60,28,27
30,30,0,1,1,1,1,61,61,29,28
31,31,0,1,1,1,1,62,62,30,29
32,32,0,1,1,1,1,63,63,31,30
33,33,0,1,1,1,1,0,0,32,31
34,34,0,1,1,1,1,1,1,33,32
35,35,0,1,1,1,1,2,2,34,33
36,36,0,1,1,1,1,3,3,35,34
37,37,0,1,1,1,1,4,4,36,35
38,38,0,1,1,1,1,5,5,37,36
39,39,0,1,1,1,1,6,6,38,37
40,40,0,1,1,1,1,7,7,39,38
41,41,0,1,1,1,1,8,8,40,39
42,42,0,1,1,1,1,9,9,41,40
43,43,0,1,1,1,1,10,10,42,41
44,44,0,1,1,1,1,11,11,43,42
45,45,0,1,1,1,1,12,12,44,43
46,46,0,1,1,1,1,13,13,45,44
47,47,0,1,1,1,1,14,14,46,45
48,48,0,1,1,1,1,15,15,47,46
49,49,0,1,1,1,1,16,16,48,47
50,50,0,1,1,1,1,17,17,49,48
51,51,0,1,1,1,1,18,18,50,49
52,52,0,1,1,1,1,19,19,51,50
53,53,0,1,1,1,1,20,20,52,51
54,54,0,1,1,1,1,21,21,53,52
55,55,0,1,1,1,1,22,22,54,53
56,56,0,1,1,1,1,23,23,55,54
57,57,0,1,1,1,1,24,24,56,55
58,58,0,1,1,1,1,25,25,57,56
59,59,0,1,1,1,1,26,26,58,57
60,60,0,1,1,1,1,27,27,59,58
61,61,0,1,1,1,1,28,28,60,59
62,62,0,1,1,1,1,29,29,61,60
63,63,0,1,1,1,1,30,30,62,61
64,64,0,1,1,1,1,31,31,63,62
65,65,0,1,1,1,1,32,32,0,63
66,66,0,1,1,1,1,33,33,1,0
67,67,0,1,1,1,1,34,34,2,1
68,68,0,1,1,1,1,35,35,3,2
69,69,0,1,1,1,1,36,36,4,3
70,70,0,1,1,1,1,37,37,5,4
71,71,0,1,1,1,1,38,38,6,5
72,72,0,1,1,1,1,39,39,7,6
73,73,0,1,1,1,1,40,40,8,7
74,74,0,1,1,1,1,41,41,9,8
75,75,0,1,1,1,1,42,42,10,9
76,76,0,1,1,1,1,43,43,11,10
77,77,0,1,1,1,1,44,44,12,11
78,78,0,1,1,1,1,45,45,13,12
79,79,0,1,1,1,1,46,46,14,13
80,80,0,1,1,1,1,47,47,15,14
81,81,0,1,1,1,1,48,48,16,15
82,82,0,1,1,1,1,49,49,17,16
83,83,0,1,1,1,1,50,50,18,17
84,84,0,1,1,1,1,51,51,19,18
85,85,0,1,1,1,1,52,52,20,19
86,86,0,1,1,1,1,53,53,21,20
87,87,0,1,1,1,1,54,54,22,21
88,88,0,1,1,1,1,55,55,23,22
89,89,0,1,1,1,1,56,56,24,23
90,90,0,1,1,1,1,57,57,25,24
91,91,0,1,1,1,1,58,58,26,25
92,92,0,1,1,1,1,59,59,27,26
93,93,0,1,1,1,1,60,60,28,27
94,94,0,1,1,1,1,61,61,29,28
95,95,0,1,1,1,1,62,62,30,29
96,96,0,1,1,1,1,63,63,31,30
97,97,0,1,1,1,1,0,0,32,31
98,98,0,1,1,1,1,1,1,33,32
99,99,0,1,1,1,1,2,2,34,33
100,100,0,1,1,1,1,3,3,35,34
101,101,0,1,1,1,1,4,4,36,35
102,102,0,1,1,1,1,5,5,37,36
103,103,0,1,1,1,1,6,6,38,37
104,104,0,1,1,1,1,7,7,39,38
105,105,0,1,1,1,1,8,8,40,39
106,106,0,1,1,1,1,9,9,41,40
107,107,0,1,1,1,1,10,10,42,41
108,108,0,1,1,1,1,11,11,43,42
109,109,0,1,1,1,1,12,12,44,43
110,110,0,1,1,1,1,13,13,45,44
111,111,0,1,1,1,1,14,14,46,45
112,112,0,1,1,1,1,15,15,47,46
113,113,0,1,1,1,1,16,16,48,47
114,114,0,1,1,1,1,17,17,49,48
115,115,0,1,1,1,1,18,18,50,49
116,116,0,1,1,1,1,19,19,51,50
117,117,0,1,1,1,1,20,20,52,51
118,118,0,1,1,1,1,21,21,53,52
119,119,0,1,1,1,1,22,22,54,53
120,120,0,1,1,1,1,23,23,55,54
121,121,0,1,1,1,1,24,24,56,55
122,122,0,1,1,1,1,25,25,57,56
123,123,0,1,1,1,1,26,26,58,57
124,124,0,1,1,1,1,27,27,59,58
125,125,0,1,1,1,1,28,28,60,59
126,126,0,1,1,1,1,29,29,61,60
127,127,0,1,1,1,1,30,30,62,61
128,128,0,1,1,1,1,31,31,63,62
129,129,0,1,1,1,1,32,32,0,63
130,130,0,1,1,1,1,33,33,1,0
131,131,0,1,1,1,1,34,34,2,1
132,132,0,1,1,1,1,35,35,3,2
133,133,0,1,1,1,1,36,36,4,3
134,134,0,1,1,1,1,37,37,5,4
135,135,0,1,1,1,1,38,38,6,5
136,136,0,1,1,1,1,39,39,7,6
137,137,0,1,1,1,1,40,40,8,7
138,138,0,1,1,1,1,41,41,9,8
139,139,0,1,1,1,1,42,42,10,9
140,140,0,1,1,1,1,43,43,11,10
141,141,0,1,1,1,1,44,44,12,11
142,142,0,1,1,1,1,45,45,13,12
143,143,0,1,1,1,1,46,46,14,13
144,144,0,1,1,1,1,47,47,15,14
145,145,0,1,1,1,1,48,48,16,15
146,146,0,1,1,1,1,49,49,17,16
147,147,0,1,1,1,1,50,50,18,17
148,148,0,1,1,1,1,51,51,19,18
149,149,0,1,1,1,1,52,52,20,19
150,150,0,1,1,1,1,53,53,21,20
151,151,0,1,1,1,1,54,54,22,21
152,152,0,1,1,1,1,55,55,23,22
153,153,0,1,1,1,1,56,56,24,23
154,154,0,1,1,1,1,57,57,25,24
155,155,0,1,1,1,1,58,58,26,25
156,156,0,1,1,1,1,59,59,27,26
157,157,0,1,1,1,1,60,60,28,27
158,158,0,1,1,1,1,61,61,29,28
159,159,0,1,1,1,1,62,62,30,29
160,160,0,1,1,1,1,63,63,31,30
161,161,0,1,1,1,1,0,0,32,31
162,162,0,1,1,1,1,1,1,33,32
163,163,0,1,1,1,1,2,2,34,33
164,164,0,1,1,1,1,3,3,35,34
165,165,0,1,1,1,1,4,4,36,35
166,166,0,1,1,1,1,5,5,37,36
167,167,0,1,1,1,1,6,6,38,37
168,168,0,1,1,1,1,7,7,39,38
169,169,0,1,1,1,1,8,8,40,39
170,170,0,1,1,1,1,9,9,41,40
171,171,0,1,1,1,1,10,10,42,41
172,172,0,1,1,1,1,11,11,43,42
